;Kingdom;Phylum;Class;Order;Family;Genus
ASV_57;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
ASV_58;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_59;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_60;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_61;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;Puniceispirillales Incertae Sedis;Constrictibacter
ASV_62;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_63;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_64;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_65;Bacteria;Chloroflexi;Dehalococcoidia;S085;NA;NA
ASV_66;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_67;Bacteria;PAUC34f;NA;NA;NA;NA
ASV_68;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
ASV_69;Bacteria;Chloroflexi;TK17;NA;NA;NA
ASV_70;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_71;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_72;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_73;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;NA;NA
ASV_74;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_75;Bacteria;Chloroflexi;TK10;NA;NA;NA
ASV_76;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;AqS1
ASV_77;Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera
ASV_78;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;NA;NA
ASV_79;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_80;Bacteria;Nitrospinota;P9X2b3D02;NA;NA;NA
ASV_81;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_82;Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;NA;NA
ASV_83;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA
ASV_84;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_85;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA
ASV_86;Bacteria;Gemmatimonadota;PAUC43f marine benthic group;NA;NA;NA
ASV_87;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum
